Insee,Code postal,Commune,Nombre habitants,Rue,Ordures,Horaires ordures,Reccurence,Tri,Horaires tri,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
8105,08000,Charleville-Mézières,46391,Abattoir (Rue de l'),"mardi, vendredi soir",-,semaine,mercredi soir,-,49.769463,4.729346,Rue de l’Abattoir 08000 Charleville-Mézières,0.91,street,08105_0010,,Rue de l’Abattoir,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Abreuvoir (Rue de l'),"mardi, vendredi soir",-,semaine,mercredi soir,-,49.77102,4.731705,Rue de l’Abreuvoir 08000 Charleville-Mézières,0.91,street,08105_0030,,Rue de l’Abreuvoir,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Acacias (Hameau des),jeudi après midi,-,semaine impaire,mardi matin ,-,49.796588,4.713537,Hameau des Acacias 08000 Charleville-Mézières,0.9,street,08105_0035,,Hameau des Acacias,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Aiglemont (Route d'),mardi après midi,-,semaine impaire,mardi matin ,-,49.770446,4.740236,Route d’Aiglemont 08000 Charleville-Mézières,0.91,street,08105_0050,,Route d’Aiglemont,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Albert 1er (Quai),lundi et jeudi matin,-,semaine,mercredi matin,-,49.758188,4.718836,Quai Albert 1er 08000 Charleville-Mézières,0.9,street,08105_0090,,Quai Albert 1er,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Albert 1er (Square),mardi vendredi matin,-,semaine,mercredi matin,-,49.758732,4.720135,Square Albert 1er 08000 Charleville-Mézières,0.9,street,08105_0095,,Square Albert 1er,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Albert-Poulain (Rue),jeudi après midi,-,semaine impaire,mardi matin ,-,49.785434,4.709766,Rue Albert Poulain 08000 Charleville-Mézières,0.92,street,08105_0080,,Rue Albert Poulain,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Albert-Poulain prolongée (Rue),jeudi après midi,-,semaine impaire,mardi matin ,-,49.790277,4.709249,Rue Albert Poulain Prolongée 08000 Charleville-Mézières,0.91,street,08105_t6jubv,,Rue Albert Poulain Prolongée,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Alexandre (Rue),mardi vendredi soir,-,semaine,mercredi soir,-,49.770684,4.726077,Rue Alexandre 08000 Charleville-Mézières,0.9,street,08105_0110,,Rue Alexandre,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Allende (Rue Salvador),lundi après midi,-,semaine paire,jeudi matin,-,49.781638,4.700126,Rue Salvador Allende 08000 Charleville-Mézières,0.91,street,08105_3616,,Rue Salvador Allende,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Alsace (Rue d'),lundi et jeudi soir,-,semaine,mercredi soir,-,49.76359,4.721667,Rue d’Alsace 08000 Charleville-Mézières,0.9,street,08105_0130,,Rue d’Alsace,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
,08000,Charleville-Mézières,,Amiral Fortant (Rue de l'),lundi et jeudi soir,-,semaine,mercredi soir,-,49.772615,4.70798,Rue de l’Amiral Fortant 08000 Charleville-Mézières,0.91,street,08105_0151,,Rue de l’Amiral Fortant,,08000,Charleville-Mézières,"08, Ardennes, Grand Est",08105,,,
